log_ret_y,count,Close Price_y,edge_count,node_count,degree
-0.003968259,1319,11.3175,922,1678,1.098927294
-0.002506637,2516,11.28916667,2138,3816,1.120545073
-0.001921088,1191,11.2675,828,1494,1.108433735
-0.00288857,986,11.235,637,1178,1.081494058
-0.004236822,1078,11.1875,705,1279,1.102423769
0.007938611,1206,11.27666667,768,1467,1.047034765
-0.001701121,1279,11.2575,813,1486,1.094212651
0.004505344,2768,11.30833333,2349,4178,1.124461465
-0.002139354,1773,11.28416667,1636,2810,1.164412811
0.001328413,7104,11.29916667,6993,12573,1.112383679
-0.004805391,2030,11.245,1897,3324,1.141395909
0.001629027,1349,11.26333333,1300,2288,1.136363636
0.00044382,2409,11.26833333,2355,4364,1.07928506
0.000665361,1730,11.27583333,1690,3030,1.115511551
-0.000887246,861,11.26583333,799,1449,1.102829538
-0.002518147,701,11.2375,626,1204,1.03986711
-0.002152853,2557,11.21333333,2165,4119,1.051226026
0.001336799,1178,11.22833333,637,1215,1.048559671
-0.004910359,2237,11.17333333,1668,3183,1.048067861
0.005948858,2837,11.24,2303,4089,1.126436782
-0.002449617,2777,11.2125,1494,2576,1.159937888
0.000594398,8346,11.21916667,7570,13650,1.109157509
-0.000148566,2630,11.2175,1573,2724,1.154919236
-0.00357223,1887,11.1775,1039,1852,1.122030238
0.002085351,2099,11.20083333,1294,2277,1.136583224
-7.44E-05,2435,11.2,2252,3990,1.128822055
0.002006913,1277,11.2225,1183,2064,1.146317829
0.003557931,955,11.2625,873,1566,1.114942529
-0.002296382,1368,11.23666667,1272,2250,1.130666667
0.000889548,1078,11.24666667,971,1753,1.107815174
-0.007735831,1302,11.16,1258,2250,1.118222222
0.00447028,2354,11.21,2281,4025,1.133416149
0.001040196,1450,11.22166667,1387,2412,1.150082919
0,883,11.22166667,803,1457,1.102264928
-0.003869052,1238,11.17833333,1179,2039,1.15644924
-0.001268136,893,11.16416667,829,1513,1.095836087
0.004691523,2382,11.21666667,2337,4331,1.07919649
-0.001784652,2070,11.19666667,2036,3581,1.137112538
-0.004251358,2607,11.14916667,2522,4684,1.076857387
-0.004795094,944,11.09583333,891,1601,1.113054341
-0.001051999,1444,11.08416667,1355,2399,1.129637349
0.000225522,1118,11.08666667,1034,1881,1.099415205
0.001201923,1245,11.1,1173,2060,1.138834951
-0.003308771,2533,11.06333333,2440,4306,1.133302369
-0.000678145,1421,11.05583333,1367,2402,1.138218152
-0.003473274,954,11.0175,863,1627,1.060848187
0.003473274,1438,11.05583333,1328,2352,1.129251701
0.003911838,868,11.09916667,784,1437,1.091162143
-0.00330902,1551,11.0625,1431,2532,1.130331754
0.000301273,2210,11.06583333,2123,3792,1.119725738
-0.000451943,7335,11.06083333,7193,13090,1.099006875
-0.00105533,1775,11.04916667,1593,2805,1.135828877
-0.000528083,1261,11.04333333,1160,2063,1.12457586
0.001960046,1066,11.065,958,1723,1.112013929
-0.006118999,1321,10.9975,1221,2148,1.136871508
-0.001213132,2887,10.98416667,2757,4808,1.146838602
-0.000834883,1650,10.975,1521,2663,1.142320691
-0.003651305,858,10.935,743,1355,1.096678967
0.002511704,776,10.9625,670,1208,1.109271523
0.000455996,733,10.9675,658,1245,1.057028112
0.001214975,908,10.98083333,827,1493,1.107836571
-0.000303605,3370,10.9775,3259,6054,1.076643541
-0.005633389,2303,10.91583333,2230,4247,1.050153049
-0.00091652,758,10.90583333,693,1296,1.069444444
-0.000687942,1067,10.89833333,631,1150,1.097391304
-0.000841461,1534,10.88916667,579,1083,1.069252078
-0.003833773,2078,10.8475,1172,2095,1.118854415
0.009100357,2777,10.94666667,2199,3965,1.109205549
0.012332292,1177,11.0825,598,1129,1.059344553
-0.003238564,7627,11.04666667,6792,12384,1.096899225
-0.00090566,1994,11.03666667,1131,2071,1.092225978
0.001885868,1015,11.0575,806,1507,1.069674851
0.004061377,884,11.1025,743,1383,1.074475777
-0.002254284,2371,11.0775,2208,3912,1.128834356
-0.006717767,807,11.00333333,686,1294,1.060278207
0.000681379,1091,11.01083333,956,1743,1.096959266
-0.000529922,2291,11.005,2142,3664,1.169213974
-0.005010259,2319,10.95,2210,3769,1.172724861
-0.000532866,1986,10.94416667,1905,3272,1.164425428
-0.005191248,3363,10.8875,3256,5684,1.145672062
0.00099453,1297,10.89833333,1226,2198,1.1155596
-0.001071073,1086,10.88666667,1010,1813,1.1141754
0.00130044,674,10.90083333,632,1168,1.082191781
0.008752958,987,10.99666667,937,1702,1.101057579
-0.001061491,1392,10.985,1254,2210,1.134841629
0.000606704,2389,10.99166667,2253,3992,1.128757515
-0.001669323,1976,10.97333333,1901,3658,1.039365774
0.006886923,1120,11.04916667,1062,1899,1.118483412
0.001808455,2690,11.06916667,2587,4831,1.070999793
0.00203061,1387,11.09166667,1133,2021,1.121227115
-0.003839065,1665,11.04916667,925,1683,1.09922757
-0.004914386,8445,10.995,7610,14031,1.084740931
0.008528032,2335,11.08916667,1786,3298,1.083080655
0.007262957,2199,11.17,1289,2275,1.133186813
-0.003737204,1421,11.12833333,718,1357,1.058216654
-0.000824063,1578,11.11916667,1097,1944,1.128600823
-0.001124817,1477,11.10666667,1353,2425,1.115876289
-0.002253437,2513,11.08166667,2409,4275,1.127017544
-0.001279206,1137,11.0675,1018,1834,1.110141767
0.004057715,1552,11.1125,1368,2433,1.124537608
-0.002628122,1796,11.08333333,1647,2914,1.130404942
0.001652769,1350,11.10166667,1203,2163,1.112343967
0.005539351,1476,11.16333333,1376,2447,1.124642419
0.005434594,2806,11.22416667,2689,4750,1.132210526
-0.002304234,1224,11.19833333,1135,2037,1.114383898
0.002378476,1094,11.225,972,1736,1.119815668
0.00289114,970,11.2575,846,1528,1.107329843
0.00221828,1116,11.2825,1022,1837,1.112683723
0.000443066,1300,11.2875,1181,2117,1.115729806
0.001991371,3659,11.31,3583,6557,1.09287784
-0.001696103,830,11.29083333,764,1365,1.119413919
0.001180202,1229,11.30416667,1160,2022,1.147378833
-0.002805258,2862,11.2725,2732,5071,1.077499507
-0.001627701,1337,11.25416667,1219,2174,1.121435143
-0.001852882,1308,11.23333333,1188,2124,1.118644068
-0.001707689,2786,11.21416667,2703,4774,1.132383745
-0.000743384,6178,11.20583333,6037,11299,1.068590141
0.002747765,3069,11.23666667,2938,5445,1.079155188
0.005104128,1136,11.29416667,1034,1859,1.112426036
-0.0020681,1547,11.27083333,1423,2507,1.13522138
-0.001257722,1207,11.25666667,1109,2025,1.095308642
0.001996821,2899,11.27916667,2762,4885,1.130808598
0.000369344,1154,11.28333333,1000,1840,1.086956522
0.002434258,1472,11.31083333,1357,2454,1.10594947
0.009386298,1622,11.4175,1497,2655,1.127683616
0.014779665,1452,11.5875,1358,2453,1.107215654
