Close Price,count,edge_count,node_count,degree,transitivity,centrality,average_clustering,number_connected_components,density,log_ret
12.07583333,1547,1231,2239,1.099598035,0.000321027,0.527604083,0.004607022,1282,0.000491331,0.062502549
12.85416667,2518,2276,4219,1.078928656,5.09E-05,0.703733864,0.003305649,2327,0.000255792,0.062461803
12.73583333,1827,1426,2549,1.118870145,0.000132977,0.591046263,0.004124053,1481,0.000439117,-0.00924847
12.6525,2680,1697,3147,1.078487448,0.000215979,0.703951192,0.006391896,1750,0.000342812,-0.006564719
12.4125,1596,1466,2672,1.097305389,0.000523236,0.535550477,0.008526351,1518,0.000410822,-0.019150795
12.9075,1261,1079,2017,1.069905801,0.001004785,0.497691084,0.010280799,1136,0.000530707,0.039104508
12.97166667,1819,1677,3002,1.117255163,0.000162407,0.583357287,0.00383018,1732,0.000372294,0.004958954
12.94833333,6611,6417,12030,1.066832918,9.30E-06,0.706638577,0.002080284,6475,8.87E-05,-0.001800412
12.66333333,1638,1415,2536,1.115930599,0.00435408,0.394326353,0.045747816,1468,0.000440209,-0.022256401
12.46416667,1253,1074,2002,1.072927073,0.0005435,0.550402699,0.005074054,1117,0.000536195,-0.015852818
12.27666667,1824,1640,2947,1.112996267,0.000372985,0.602804441,0.007726159,1693,0.000377799,-0.015157419
12.24583333,1535,1172,2215,1.058239278,0.000726803,0.518075589,0.005637264,1230,0.000477976,-0.002514699
12.38083333,1640,1353,2464,1.098214286,0.000895055,0.525545272,0.009103562,1419,0.000445885,0.010963835
12.18833333,2981,2576,4702,1.095703956,5.60E-05,0.702868978,0.003362487,2626,0.000233079,-0.015670368
12.00583333,1798,1507,2700,1.116296296,0.00035629,0.618741755,0.007540623,1562,0.000413596,-0.015086567
11.77583333,1406,1062,2034,1.044247788,0.00093611,0.707106781,0.010161276,1115,0.000513649,-0.019343234
12.04166667,1615,1268,2304,1.100694444,0.000388989,0.561820135,0.0054495,1316,0.000477939,0.022323449
12.18416667,2818,2594,4903,1.058127677,5.40E-05,0.706622632,0.003993819,2640,0.000215856,0.011764437
12.38,1601,1471,2616,1.124617737,0.000323939,0.560661056,0.005293695,1506,0.000430064,0.015944973
12.44083333,2646,2474,4553,1.086755985,2.16E-05,0.703255238,0.001469781,2509,0.000238743,0.004901806
12.36083333,1469,1317,2430,1.083950617,0.000364943,0.591775066,0.005855275,1365,0.000446254,-0.006451202
12.3025,1254,1011,1854,1.090614887,0.000452114,0.550978587,0.006878078,1054,0.000588567,-0.004730378
12.39,1307,1032,1898,1.087460485,0.000371131,0.591184984,0.003750108,1079,0.000573253,0.007087202
12.39333333,1176,1035,1994,1.038114343,0.000436099,0.664024908,0.003768999,1101,0.00052088,0.000268998
12.4225,1041,810,1540,1.051948052,0.000898832,0.554354065,0.006176586,850,0.000683527,0.002350651
11.97833333,2600,2130,3995,1.066332916,3.08E-05,0.703527294,0.002530277,2179,0.000266984,-0.036409882
11.72166667,1374,1062,1966,1.080366226,0.000695572,0.552168775,0.006737736,1117,0.000549805,-0.021660481
11.05,1218,993,1846,1.075839653,0.000791329,0.496055034,0.006652654,1031,0.000583111,-0.059008553
11.09416667,1833,1648,2930,1.124914676,0.000107847,0.592383027,0.003273412,1698,0.000384061,0.003989017
11.19083333,1667,1449,2613,1.109070034,0.000173129,0.594547564,0.004233631,1513,0.000424606,0.008675546
11.2525,1930,1631,2916,1.118655693,0.000176381,0.622749599,0.003797439,1676,0.000383758,0.005495335
11.235,2800,2620,4769,1.098762843,3.25E-05,0.702856673,0.001522702,2661,0.000230445,-0.001556421
11.32333333,1391,1177,2162,1.08880666,0.000613318,0.508904195,0.008215974,1228,0.000503844,0.007831588
11.46,1748,1509,2711,1.113242346,0.000199767,0.512294332,0.004222126,1564,0.000410791,0.011997218
11.59916667,1178,943,1822,1.035126235,0.000833719,0.551436775,0.004914159,998,0.000568438,0.012070545
11.58833333,1663,1405,2561,1.097227645,0.00058289,0.553218182,0.006828516,1461,0.000428605,-0.000934412
11.91,1538,1282,2413,1.062577704,0.000460971,0.703189068,0.005074176,1333,0.000440538,0.027379538
11.88,2959,2724,4947,1.101273499,6.51E-05,0.702603172,0.003554277,2772,0.000222659,-0.002522069
11.73833333,7042,5206,9962,1.045171652,1.07E-06,0.706674222,0.000332185,5264,0.000104926,-0.011996474
11.72166667,1662,1050,1917,1.095461659,0.000640938,0.550415815,0.007223323,1099,0.000571744,-0.001420858
11.84666667,1203,997,1834,1.087241003,0.000231857,0.59534747,0.003281668,1039,0.000593148,0.010607553
11.86333333,1929,1711,3004,1.139147803,3.03E-05,0.592174205,0.000780246,1739,0.000379337,0.001405877
11.79583333,1355,1103,2045,1.078728606,0.000426894,0.669555682,0.004273164,1147,0.000527754,-0.005706049
11.78333333,3228,3036,5561,1.091889948,5.66E-05,0.703272544,0.002484147,3076,0.000196383,-0.001060258
11.70083333,1290,1141,2086,1.093959732,0.000611525,0.607688339,0.0088317,1191,0.000524681,-0.007026039
11.52583333,2817,2703,5104,1.059169279,1.46E-05,0.70680246,0.00117231,2743,0.000207558,-0.015069171
11.3625,1167,1020,1881,1.084529506,0.000327362,0.527384155,0.003312802,1052,0.000576877,-0.014272433
11.15916667,1476,1364,2510,1.08685259,6.84E-05,0.486977678,0.001601663,1401,0.000433182,-0.018057177
11.04416667,1385,1271,2306,1.102341717,5.33E-05,0.598421297,0.001015983,1316,0.000478239,-0.010358898
11.41416667,2762,2633,4796,1.097998332,2.03E-05,0.702529122,0.001458017,2662,0.000228988,0.032952889
11.52916667,2870,1049,1945,1.078663239,0.000261292,0.58206149,0.004994928,1105,0.000554868,0.010024782
11.61583333,1344,1133,2085,1.086810552,0.000189123,0.579617453,0.002726961,1184,0.000521502,0.007489054
11.5975,872,710,1362,1.042584435,0.001405152,0.573270538,0.004879042,757,0.000766043,-0.001579552
11.57083333,1434,1224,2251,1.087516659,0.000486509,0.622468112,0.004749794,1266,0.000483341,-0.002301994
11.54166667,2005,1728,3166,1.091598231,0.00015468,0.598563005,0.004524241,1796,0.000344897,-0.002523888
11.62916667,3132,2946,5382,1.094760312,3.13E-05,0.701940798,0.001986706,3006,0.000203449,0.007552634
12.03083333,1304,1155,2175,1.062068966,0.000414164,0.528815246,0.00371757,1220,0.000488532,0.033956489
12.37166667,1635,1384,2521,1.097976993,0.000374097,0.512505508,0.003984965,1447,0.000435705,0.027936113
12.34166667,1375,1086,2033,1.068371864,0.000386144,0.535764071,0.005141171,1154,0.000525774,-0.00242784
12.20583333,1616,1357,2477,1.095680258,0.000315711,0.480335466,0.005177773,1415,0.00044252,-0.011067092
12.36666667,5196,4896,9417,1.039821599,2.93E-06,0.706868353,0.000945813,4970,0.000110431,0.013090701
12.29166667,2996,2687,4957,1.084123462,4.25E-05,0.702512141,0.001870398,2748,0.00021875,-0.006083155
12.09166667,1482,1239,2305,1.07505423,0.000810471,0.579803158,0.009287494,1310,0.000466603,-0.016405016
12.1925,1394,1173,2159,1.086614173,0.000489565,0.527257509,0.005236414,1244,0.000503528,0.008304498
12.19583333,1259,1079,2000,1.079,0.001365654,0.603357259,0.010254067,1135,0.00053977,0.000273355
12.2525,3252,2926,5442,1.075339949,0.000107481,0.706612376,0.007110235,2967,0.000197636,0.004635634
12.34166667,2065,1656,3019,1.097052004,0.000640719,0.579078384,0.010898286,1716,0.000363503,0.007251074
12.46583333,3092,2880,5305,1.085768143,5.09E-05,0.709105447,0.002876146,2932,0.000204707,0.010010497
12.885,1459,1269,2369,1.071338117,0.000937142,0.563652628,0.00807209,1326,0.000452423,0.033072276
13.64166667,1722,1439,2626,1.095963442,0.001063377,0.614632772,0.010717774,1506,0.00041751,0.05706499
14.24416667,1124,824,1585,1.039747634,0.001164295,0.623898461,0.007571535,885,0.000656406,0.043218632
14.00833333,1819,1563,2944,1.061820652,0.00014795,0.704999411,0.00260866,1615,0.000360795,-0.016695076
14.5,1323,986,1894,1.041182682,0.00059104,0.527131557,0.004140547,1057,0.000550017,0.034496259
14.8925,2711,2417,4481,1.078777059,4.86E-05,0.703352945,0.002710048,2477,0.000240798,0.026709081
14.75666667,1118,896,1726,1.038238702,0.001342118,0.577043487,0.007269337,958,0.000601878,-0.009162772
15.15416667,1004,805,1563,1.030070377,0.001108647,0.643249135,0.007677929,865,0.000659456,0.026580564
15.59166667,1301,1089,2046,1.064516129,0.000716789,0.554863021,0.004884469,1142,0.000520546,0.028461062
15.225,1922,1458,2633,1.10748196,0.000157385,0.603726859,0.003112412,1502,0.000420776,-0.02379777
14.995,2072,1793,3184,1.126256281,0.000105435,0.564368218,0.003113394,1858,0.000353835,-0.015222001
14.76916667,2894,2671,4849,1.101670448,3.19E-05,0.701951216,0.001781973,2722,0.000227242,-0.015175138
13.94833333,1942,1783,3183,1.120326736,0.000202297,0.607331168,0.005445021,1839,0.000352083,-0.057181647
13.8925,1812,1615,2966,1.089008766,0.000188373,0.643570718,0.006194355,1688,0.000367288,-0.004010901
14.3075,1394,1254,2306,1.087597572,0.000369452,0.490129222,0.005313441,1309,0.000471843,0.029434749
14.27,5518,5394,10269,1.050540462,2.58E-06,0.706686308,0.000907666,5444,0.000102312,-0.002624444
14.5975,1873,1723,3198,1.077548468,0.000229253,0.691352488,0.003125565,1778,0.00033705,0.02269085
14.365,2998,2796,5070,1.10295858,2.56E-05,0.701701584,0.002111343,2847,0.000217589,-0.016055589
