,wow1,wow2
0,-0.11951968727055771,-0.10091032087802887
1,-0.10918628773145929,-0.10006222128868103
2,-0.17286906582403788,-0.09721501916646957
3,-0.15000176311360566,-0.10379098355770111
4,-0.10275421043308874,-0.10591617226600647
5,-0.18400395194138236,-0.10730178654193878
6,-0.08356001897929627,-0.10848201811313629
7,-0.10783553682228077,-0.10779422521591187
8,-0.10749297375683309,-0.10581372678279877
9,-0.0779013527286743,-0.10812702775001526
10,-0.11741527028460269,-0.1088724434375763
11,-0.11788263725323957,-0.10917127132415771
12,-0.1288699678893473,-0.11196041107177734
13,-0.1343716250779872,-0.09794400632381439
14,-0.11139236487641563,-0.2021840363740921
15,-0.1216655134357798,-0.11126983165740967
16,-0.10477251724169574,-0.09666697680950165
17,-0.11977945574511613,-0.1087900698184967
18,-0.11033231008967688,-0.10722623765468597
19,-0.11228367532651995,-0.1060694009065628
20,-0.10839947767391774,-0.10625569522380829
21,-0.11279243959060146,-0.10839676856994629
22,-0.11139772448033282,-0.10860554873943329
23,-0.09828090793484812,-0.1076156347990036
24,-0.09742802382458024,-0.1077483594417572
25,-0.10685330918865436,-0.09968788921833038
26,-0.09440956857811818,-0.10475283861160278
27,-0.10326128125247358,-0.10777227580547333
28,-0.10237133150003781,-0.10677099227905273
29,-0.10699138137958977,-0.10789284110069275
30,-0.057951813637231085,-0.10799776017665863
31,-0.12829380452633818,-0.10658055543899536
32,-0.10815307849959621,-0.10880783200263977
33,-0.13121564429642163,-0.10877086222171783
34,-0.1267339637033659,-0.10880286991596222
35,-0.09157279915091987,-0.1088143140077591
36,-0.10987440264369651,-0.10817354917526245
37,-0.12135030692957241,-0.09891730546951294
38,-0.11281069908376945,-0.11739926040172577
39,-0.10714581165210392,-0.11356939375400543
40,-0.10691241337952387,-0.14670208096504211
41,-0.09909771870212127,-0.12564486265182495
42,-0.0994013800748352,-0.11348098516464233
43,-0.13428409478385844,-0.10451158881187439
44,-0.11058053343074183,-0.09812195599079132
45,-0.13584528442067687,-0.10204654932022095
46,-0.11572667418748231,-0.10138832032680511
47,-0.10841620415399189,-0.10463009774684906
48,-0.11082680188301659,-0.10417473316192627
49,-0.1121754434137133,-0.08813288807868958
50,-0.14725491262884507,-0.0970006212592125
51,-0.13832411905811068,-0.10275033116340637
52,-0.12512885145883587,-0.10332465171813965
